id,propertyType,forSale,price,location,preciseLocation,squareFootage,propertySquareFootage,yearOfBuilding,floor,totalFloors,inRegistry,heating,numberOfRooms,numberOfToilets,parking,hasElevator,hasTerrace
42960,1,1,74050,"Novi Sad","Gradske lokacije",42,NULL,2020,2,4,NULL,"grejanje na gas",1.5,NULL,NULL,1,1
42984,1,1,74050,"Novi Sad","Gradske lokacije",42,NULL,2020,3,4,NULL,"grejanje na gas",1.5,NULL,NULL,1,1
47701,1,1,74000,Kragujevac,"Gradske lokacije",83,NULL,2020,4,4,1,"podno grejanje",3.5,1,NULL,NULL,1
47761,1,1,74000,Kragujevac,"Gradske lokacije",83,NULL,2020,4,NULL,1,"podno grejanje",3,1,NULL,NULL,1
55330,1,1,74000,"Novi Sad","Gradske lokacije",54,NULL,2020,1,2,NULL,"etazno grejanje",2,NULL,NULL,1,1
46898,1,1,73950,"Novi Sad","Gradske lokacije",47,NULL,2020,3,4,NULL,NULL,2,NULL,NULL,1,1
52718,1,1,73930,"Novi Sad","Gradske lokacije",57,NULL,2020,0,4,NULL,"grejanje na gas",2.5,NULL,NULL,1,1
52627,1,1,73900,"Novi Sad","Gradske lokacije",51,NULL,2020,1,5,NULL,"grejanje na gas",2,NULL,NULL,1,1
52652,1,1,73900,"Novi Sad","Gradske lokacije",51,NULL,2020,2,5,NULL,"grejanje na gas",2,NULL,NULL,1,1
41685,1,1,73800,"Novi Sad","Gradske lokacije",55,NULL,2020,1,2,NULL,"grejanje na gas",3,NULL,NULL,NULL,1
41856,1,1,73800,"Novi Sad","Gradske lokacije",55,NULL,2020,2,2,NULL,"grejanje na gas",3,NULL,NULL,NULL,1
9774,1,1,73750,Beograd,"Cukarica opstina",59,NULL,2020,6,6,0,"etazno grejanje",2.5,NULL,NULL,1,1
39217,1,1,73700,Kragujevac,"Gradske lokacije",67,NULL,2020,6,8,0,"grejanje na gas",2,2,NULL,1,1
49513,1,1,73650,"Novi Sad","Gradske lokacije",55,NULL,2020,0,2,NULL,"grejanje na gas",2.5,NULL,NULL,NULL,NULL
26824,1,1,73600,Kragujevac,"Gradske lokacije",64,NULL,2020,NULL,NULL,0,NULL,2.5,1,1,1,1
26933,1,1,73600,Kragujevac,"Gradske lokacije",64,NULL,2020,2,NULL,0,NULL,2.5,1,NULL,1,1
42700,1,1,73500,"Novi Sad","Gradske lokacije",48,NULL,2020,0,5,NULL,"centralno grejanje",2.5,NULL,NULL,1,NULL
49475,1,1,73400,"Novi Sad","Gradske lokacije",54,NULL,2020,0,4,NULL,"grejanje na gas",3,NULL,NULL,1,1
